"国","出展サイト","RSS URL"
"日本","レスポンス","https://news.yahoo.co.jp/rss/media/rps/all.xml"
"日本","carview!","https://news.yahoo.co.jp/rss/media/carv/all.xml"
"日本","MotorFan","https://news.yahoo.co.jp/rss/media/motorfan/all.xml"
"日本","WEB CARTOP","https://news.yahoo.co.jp/rss/media/wcartop/all.xml"
"日本","webCG","https://news.yahoo.co.jp/rss/media/webcg/all.xml"
"日本","Auto Messe Web","https://news.yahoo.co.jp/rss/media/amweb/all.xml"
"日本","VAGUE","https://news.yahoo.co.jp/rss/media/vague/all.xml"
"日本","ベストカーWeb","https://news.yahoo.co.jp/rss/media/bestcar/all.xml"
"日本","くるまのニュース","https://news.yahoo.co.jp/rss/media/kurumans/all.xml"
"日本","日刊自動車新聞","https://news.yahoo.co.jp/rss/media/netdenjd/all.xml"
"日本","THE EV TIMES","https://news.yahoo.co.jp/rss/media/evtimes/all.xml"
"日本","AUTOCAR JAPAN","https://news.yahoo.co.jp/rss/media/autocar/all.xml"
"日本","AUTO BILD JAPAN Web","https://news.yahoo.co.jp/rss/media/autobild/all.xml"
"日本","ドライバーWeb","https://news.yahoo.co.jp/rss/media/driverweb/all.xml"
"日本","MONOist","https://news.yahoo.co.jp/rss/media/it_monoist/all.xml"
"日本","EE Times Japan","https://news.yahoo.co.jp/rss/media/it_eetimes/all.xml"
"日本","TechTargetジャパン","https://news.yahoo.co.jp/rss/media/zdn_tt/all.xml"
"日本","ZDNET Japan","https://news.yahoo.co.jp/rss/media/zdnet/all.xml"
"日本","CNET Japan","https://news.yahoo.co.jp/rss/media/cnetj/all.xml"
"日本","Impress Watch","https://news.yahoo.co.jp/rss/media/impress/all.xml"
"日本","ScanNetSecurity","https://news.yahoo.co.jp/rss/media/scan/all.xml"
"米国","The Drive","https://www.thedrive.com/rss/all"
"米国","Motor1","https://www.motor1.com/rss/news/all/"
"米国","CarScoops","https://www.carscoops.com/feed/"
"米国","Jalopnik","https://jalopnik.com/rss"
"米国","Car and Driver","https://www.caranddriver.com/rss/all.xml/"
"米国","The Car Connection","https://feeds.highgearmedia.com/?sites=TheCarConnection&type=all"
"米国","The Truth About Cars","https://www.thetruthaboutcars.com/rss/feed/all"
"米国","The Torque Report","https://www.thetorquereport.com/feed"
"米国","Top Speed","https://www.topspeed.com/feed"
"米国","CarComplaints","https://www.carcomplaints.com/news/feed.xml"
"米国","NVIDIA Blog - Auto","https://blogs.nvidia.com/blog/category/auto/feed/"
"欧州","AUTOCAR UK","https://www.autocar.co.uk/rss"
"欧州","Auto Express","https://www.autoexpress.co.uk/feed/all"
"欧州","Autocar Reviews","https://www.autocar.co.uk/rss/reviews"
"欧州","Auto Express Car News","https://www.autoexpress.co.uk/car-news/feed"
"中国","Autohome (CN)","https://www.autohome.com.cn/rss/news.xml"
"中国","PCauto (CN)","https://www.pcauto.com.cn/rss/news.xml"
"中国","CarNewsChina - All","https://carnewschina.com/feed/"
"中国","CarNewsChina - EV","https://carnewschina.com/category/electric-vehicles/feed/"
"中国","CarNewsChina - ICE","https://carnewschina.com/category/internal-combustion-engine-vehicles/feed/"
"中国","CnEVPost - All","https://cnevpost.com/feed/"
"中国","CnEVPost - Huawei","https://cnevpost.com/huawei/feed"
"中国","CnEVPost - Xiaomi","https://cnevpost.com/xiaomi/feed"
"中国","CnEVPost - Self-driving","https://cnevpost.com/self-driving/feed"
"中国","CnEVPost - Industry","https://cnevpost.com/industry/feed"
"中国","CnEVPost - Policy","https://cnevpost.com/policy/feed"
"中国","Inside China Auto - All","https://insidechinaauto.com/feed"
"中国","Gasgoo CN - Class 107","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=107"
"中国","Gasgoo CN - Class 108","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=108"
"中国","Gasgoo CN - Class 109","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=109"
"中国","Gasgoo CN - Class 110","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=110"
"中国","Gasgoo CN - Class 409","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=409"
"中国","Gasgoo CN - Class 601","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=601"
"中国","Gasgoo CN - Class 501","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=501"
"中国","Gasgoo CN - Class 103","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=103"
"中国","Gasgoo CN - Class 901","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=901"
"中国","Gasgoo CN - Class 112","https://auto.gasgoo.com/Rss/ClassRss.aspx?ClassId=112"
"インド","ETAuto - Auto Components","https://auto.economictimes.indiatimes.com/rss/auto-components"
"インド","ETAuto - Auto Technology","https://auto.economictimes.indiatimes.com/rss/auto-technology"
"インド","Autocar India - All","https://www.autocarindia.com/rss/all"
"インド","RushLane","https://www.rushlane.com/feed"
"インド","GaadiWaadi","https://gaadiwaadi.com/feed"
"インド","IndiaCarNews","https://www.indiacarnews.com/news/feed"
"インド","Car Blog India","https://www.carblogindia.com/feed"
"インド","Auto Punditz","https://www.autopunditz.com/blog-feed.xml"
"論文","PubMed - Search","https://pubmed.ncbi.nlm.nih.gov/rss/search/1BmJTbU5jL0av9T4Khv68l9Szy9DBfMeC5fs57GWu0vnoYd1mF/?limit=100&utm_campaign=pubmed-2&fc=20260127232539"
